مسار الملف,القسم,نوع العمل,الحالة,المرحلة,النطاق/الملاحظة,مجلد التقرير
rathena-master/npc/quests/juice_maker.txt,المهام,مراجعة حوارية عميقة,مكتمل,58,مهمة صنع عصير الفاكهة وفتح خدمة ماركس هانسن,المرحلة_58
rathena-master/npc/jobs/2-2/alchemist.txt,مهمة وظيفة,مزامنة مساعدة,محدث جزئيا,44,توحيد اسم مورغنشتاين ومصطلح العامل المعادل في مقطع فان هيلمونت,المرحلة_44
data/luafiles514/lua files/navigation/navi_npc_krpri.lub,ملاحة,مزامنة مساعدة,محدث جزئيا,16–52 و70,مزامنة أسماء العرض مع الملفات المنجزة، وإضافة توحيد اسم عذراء الأمنيات في أوكولنير,عدة مراحل_حتى_70
System/OngoingQuestInfoList_True_EN.lub,سجل المهام,مزامنة مساعدة,محدث جزئيا,27 و29 و31 و33 و34 و35 و36 و37 و39 و44 و45 و48 و53 و54 و59 و67 و70 و72,مزامنة المهام المكتملة؛ وفي المرحلة 70 توحيد وهج الغسق وضوء القمر البارد وضوء النجوم الضبابي في متطلبات العناصر الإلهية؛ وفي المرحلة 72 توحيد فراغ الرماد ومسؤول التجنيد ومسؤول الأبحاث المشتركة والعمل بدوام جزئي وهيلسريون في سجلات المهام المرتبطة,المراحل_27_و29_و31_و33_و34_و35_و36_و37_و39_و44_و45_و48_و53_و54_و59_و67_و70_و72
System/Navi_Data_EN.lub,ملاحة,مزامنة مساعدة,محدث جزئيا,31 و33 و35 و37 و39 و44,توحيد أسماء العرض والمدن السابقة، وإضافة توحيد اسم مورغنشتاين,المراحل_31_و33_و35_و37_و39_و44
System/mapInfo_true_EN.lub,خرائط,مزامنة مساعدة,محدث جزئيا,33 و39 و70,توحيد أسماء جوبييروس وإينبروخ وإينبيخ، ثم تصحيح اسم أوكولنير الزائف في أسماء الخرائط المعروضة,المراحل_33_و39_و70
data/luafiles514/lua files/worldviewdata/worldviewdata_language.lub,خريطة العالم,مزامنة مساعدة,محدث جزئيا,33 و39,توحيد اسمي جوبييروس وإينبروخ وإينبيخ في خريطة العالم,المرحلتان_33_و39
data/book/11011.txt,كتاب مهمة,مزامنة مساعدة,محدث جزئيا,33,توحيد اسم جوبييروس في كتاب المهمة,المرحلة_33
rathena-master/npc/pre-re/cities/alberta.txt,مدينة Pre-Renewal,مزامنة مساعدة,لم يراجع بالكامل,22,مزامنة اسم مندوب موسكوفيا فقط,المرحلة_22
System/LuaFiles514/itemInfo.lua,قاعدة العناصر,مزامنة مساعدة,محدث جزئيا,29 و30 و36 و37 و38 و39 و40 و46 و48 و59 و65 و66 و67 و72,مزامنة العناصر السابقة، وإضافة الترس المسنن ووردة النيل وعين هليون؛ وفي المرحلة 59 توحيد خاتم أليسيا وتصحيح اسم كيل هاير في وصف بطاقة المفتاح؛ وفي المرحلة 65 توحيد أسماء قبعات 2005 والأصباغ وحلقة الأنف وألماسة القيراطين وزيلوتس؛ وفي المرحلة 66 توحيد أسماء بيريه الريش وقناع الأسد الأسطوري والورق الأملس ومشبك كتاب الذكريات والقماش الشفاف والأصباغ البرتقالية؛ وفي المرحلة 67 تصحيح اسمي الأصباغ الليمونية والأصباغ الخضراء الداكنة وربط أسماء الشرائط الملونة ودبوس مخلب القط وإكليل العروس؛ وفي المرحلة 72 توحيد اسم قرن هيلسريون,المراحل_29_و30_و36_و37_و38_و39_و40_و46_و48_و59_و65_و66_و67_و72
System/achievement_list_EN.lub,إنجازات,مزامنة مساعدة,محدث جزئيا,39,توحيد اسم إينبروخ في نصوص الإنجازات,المرحلة_39
data/luafiles514/lua files/msgstring_kr.lub,رسائل النظام,مزامنة مساعدة,محدث جزئيا,39,توحيد اسم إينبيخ في رسائل النظام,المرحلة_39
data/luafiles514/lua files/msgstring_kr_s.lub,رسائل النظام,مزامنة مساعدة,محدث جزئيا,39,توحيد اسم إينبيخ في رسائل النظام المختصرة,المرحلة_39
data/luafiles514/lua files/navigation/navi_map_krpri.lub,ملاحة الخرائط,مزامنة مساعدة,محدث جزئيا,39 و70,توحيد اسمي إينبروخ وإينبيخ، ثم تصحيح اسم أوكولنير الزائف في ملاحة الخرائط,المرحلتان_39_و70
rathena-master/db/pre-re/mob_db.yml,قاعدة الوحوش,مزامنة مساعدة,محدث جزئيا,45 و70,توحيد أسماء عضو دانديليون وعضو دانديليون الهارب، ثم توحيد اسم عذراء الأمنيات,المرحلتان_45_و70
rathena-master/npc/quests/quests_yuno.txt,المهام,مراجعة حوارية عميقة,مكتمل,85,مراجعة كاملة لإيقاف أبحاث ميتو وتجربة باين وباجين ودليل مدينة يونو وبداية السيوف المشؤومة، مع مزامنة سجل المهام وقاموس الملاحة.,المرحلة_85
rathena-master/npc/quests/kiel_hyre_quest.txt,المهام,مراجعة حوارية عميقة,مكتمل,59,مهمة كيل هاير مع مزامنة سجل المهام وقاعدة العناصر,المرحلة_59
rathena-master/npc/quests/lvl4_weapon_quest.txt,المهام,مراجعة حوارية عميقة,مكتمل,60,مهام أسلحة المستوى الرابع مع توحيد الخامات والأسلحة,المرحلة_60
rathena-master/npc/quests/mage_solution.txt,المهام,مراجعة حوارية عميقة,مكتمل,61,بائعا محلولي بايون وموروك مع تثبيت أسماء المحاليل وأنبوب الاختبار,المرحلة_61
rathena-master/npc/quests/monstertamers.txt,المهام,مراجعة حوارية عميقة,مكتمل,62,مروضو الوحوش وأدوات الترويض وقصة جدة موناك مع توحيد أسماء المواد,المرحلة_62
rathena-master/npc/quests/mrsmile.txt,المهام,مراجعة حوارية عميقة,مكتمل,63,مهمة السيد مبتسم مع توحيد أسماء العنصر وموظفة الابتسامة في الملفات المرتبطة,المرحلة_63
rathena-master/npc/pre-re/quests/mrsmile.txt,المهام,مزامنة مساعدة,لم يراجع بالكامل,63,مزامنة اسم موظفة الابتسامة في نسخة إزلود فقط,المرحلة_63
rathena-master/npc/quests/newgears/2004_headgears.txt,المهام,مراجعة حوارية عميقة,مكتمل,64,مراجعة مجموعات قبعات 2004 السبع عشرة وتوحيد أسماء المواد والنتائج والشخصيات,المرحلة_64
rathena-master/npc/quests/newgears/2005_headgears.txt,المهام,مراجعة حوارية عميقة,مكتمل,65,مراجعة مهام قبعات 2005 وتوحيد الحوارات وأسماء النتائج والمواد وشخصيات زيلوتس وفيندارك وريبيو,المرحلة_65
rathena-master/npc/quests/newgears/2006_headgears.txt,المهام,مراجعة حوارية عميقة,مكتمل,66,مراجعة مهام قبعات 2006 وتوحيد الحوارات وأسماء النتائج والمواد في مهام شريط الحجب وبيريه الريش وخوذة فالكيري والأقنعة الشرقية وأيام وقبعة القاضي,المرحلة_66
rathena-master/npc/quests/newgears/2008_headgears.txt,المهام,مراجعة حوارية عميقة,مكتمل,67,مراجعة مهمة ميو ودبوس مخلب القط وخدمة صبغ الشرائط الملونة ومهمة إكليل العروس مع توحيد المصطلحات المرتبطة,المرحلة_67
rathena-master/npc/quests/ninja_quests.txt,المهام,مراجعة حوارية عميقة,مكتمل,68,مراجعة مهام تصنيع واقيات الذراع وأسلحة النينجا وهوما مع توحيد أسماء المواد والنتائج وحوارات الحرفيين الخمسة,المرحلة_68
rathena-master/npc/quests/obb_quest.txt,المهام,مراجعة حوارية عميقة,مكتمل,69,مراجعة مهمة باندجر ماير وتسلسل السائح وجاكوب وتومي والرجل العجوز، مع توحيد المواد واستعادة السطر الحواري المفقود,المرحلة_69
rathena-master/npc/quests/okolnir.txt,المهام,مراجعة حوارية عميقة,مكتمل,70,مراجعة رؤية أوكولنير وتجارب بياميت والتشكيلات السحرية وصناعة أسبريكا وبرينهيلد مع توحيد المصطلحات المرتبطة,المرحلة_70
rathena-master/npc/quests/partyrelay.txt,المهام,مراجعة حوارية عميقة,مكتمل,71,مراجعة اختبار المجموعة المتتابع وحوارات ليدريون وغاتان وبافهايل ولوسبي مع توحيد الفئات والمواد والأوقات,المرحلة_71
rathena-master/npc/quests/quests_13_2.txt,المهام,مزامنة مساعدة,لم يراجع بالكامل,72,مزامنة مصطلحي فراغ الرماد وهيلسريون في المواضع المرتبطة فقط؛ يبقى الملف ضمن الملفات المتبقية للمراجعة العميقة,المرحلة_72
rathena-master/npc/quests/quests_13_1.txt,المهام,مراجعة حوارية عميقة,مكتمل,72,مراجعة مهام فراغ الرماد: الانطلاق إلى العالم الجديد والبيئة الجديدة والموقف من العالم الجديد والجنية والعملاق ونزاع الاتحاد الثلاثي والعمل بدوام جزئي وتجارة مخلب القط وتقرير العالم الجديد وملاحقة رايان مور,المرحلة_72
rathena-master/npc/quests/quests_13_2.txt,المهام,مراجعة حوارية عميقة,مكتمل,73,مراجعة كاملة لمهام القبيلتين والمهام اليومية وخاتم الملك الحكيم ومعدن ميدغارد وعطر ألفهايم وتحقيق بازيت ولغز كهف إغدراسيل مع مزامنة الأسماء في ملفات العميل والملاحة,المرحلة_73
rathena-master/npc/quests/quests_airship.txt,المهام,مراجعة حوارية عميقة,مكتمل,74,مراجعة كاملة لمهمة تذكرة المنطاد وقصة كاين هيميري وعائلة تشيرنو وآلية عمل المنطاد وهجمات الغريملين والبيهولدر ومهمة قطعة قلب يمير ومختبر إينبروخ، مع مزامنة سجل المهام واسم عنصر إرادة الظلام.,المرحلة_74
rathena-master/npc/quests/quests_alberta.txt,المهام,مراجعة حوارية عميقة,مكتمل,75,مراجعة كاملة لمهمة الدمى وصناعة قبعات ألبرتا وحوارات تيمبسترا وسلسلة الوصول إلى جزيرة السلاحف وكنزها ومهمة إيرومو، مع مزامنة سجل المهام والعناصر والملاحة.,المرحلة_75
rathena-master/npc/quests/quests_aldebaran.txt,المهام,مراجعة حوارية عميقة,مكتمل,76,مراجعة كاملة لحوار تاجر ألديباران ووصفات طوق الطبيب وقبعة الريش وقناع الأوبرا وساكات، مع توحيد أسماء العناصر وتصحيح ألماسة متشققة في قاعدة العميل.,المرحلة_76
rathena-master/npc/quests/quests_lutie.txt,المهام,مراجعة حوارية عميقة,مكتمل,77,مراجعة كاملة لحوار تيتيكوب وآلة البيع أودي، مع توحيد أسماء ثماني قبعات وموادها والتحذير من فقدان الترقيات والبطاقات.,المرحلة_77
rathena-master/npc/quests/quests_morocc.txt,المهام,مراجعة حوارية عميقة,مكتمل,78,مراجعة كاملة لعمود المرور والمنظار، ونقابة القتلة المعطلة، وبعث ساتان موروك، وحرس القارة، وسلسلة غراب القدر والمختبر وقرية الكهف.,المرحلة_78
rathena-master/npc/quests/quests_moscovia.txt,المهام,مراجعة حوارية عميقة,مكتمل,79,مراجعة كاملة للجزيرة المتحركة وجزيرة الحوت، ومساعدة ميخائيل، وتبادل البلوط، وطرد الشتاء، وشافكا، وسلسلة كوشي الخالد وماريا موريفنا.,المرحلة_79
rathena-master/npc/quests/quests_nameless.txt,المهام,مراجعة حوارية عميقة,مكتمل,80,مراجعة كاملة لدخول الجزيرة المجهولة والدير الملعون، والسلام لأرونافيلتز، وقرض ماف، وألماسة الدمار، وعصابة Z، والزمردة المشؤومة، وتحقيق نقابة المارقين.,المرحلة_80
rathena-master/npc/quests/quests_payon.txt,المهام,مراجعة حوارية عميقة,مكتمل,81,مراجعة كاملة لخدعة القتل وغطاء الأذنين وقناع الأكسجين وخوذة الملاك وقبعة ديفيروتشي، مع توحيد أسماء العناصر وتصحيح جنس المتحدثة.,المرحلة_81
rathena-master/npc/quests/quests_prontera.txt,المهام,مراجعة حوارية عميقة,مكتمل,82,مراجعة كاملة للمجاري وقبعة الدكتوراه وسلسلة لعنة غيوبورغ، مع مزامنة سجل المهام والعناصر والملاحة.,المرحلة_82
rathena-master/npc/quests/quests_rachel.txt,المهام,مراجعة حوارية عميقة,مكتمل,83,مراجعة كاملة لجميع سلاسل راشيل مع إصلاح المحاذاة ومزامنة سجل المهام والعناصر والملاحة.,المرحلة_83
rathena-master/npc/quests/quests_veins.txt,المهام,مراجعة حوارية عميقة,مكتمل,84,مراجعة كاملة لجميع سلاسل فينس مع استعادة المحاذاة ومزامنة سجل المهام والعناصر والملاحة.,المرحلة_84
rathena-master/npc/quests/seals/brisingamen_seal.txt,المهام,مراجعة حوارية عميقة,مكتمل,86,مراجعة كاملة لختم بريسينغامن وقصة روزا ولوين والأقزام ألفريك ودفالين وبيرلينغ وغرر، مع إصلاح المحاذاة ومزامنة سجل المهام.,المرحلة_86
rathena-master/npc/quests/seals/god_global.txt,المهام,مراجعة حوارية عميقة,مكتمل,87,مراجعة كاملة لأداة إدارة متغيرات الأختام، مع تحسين رسائل التحقق وإعادة الضبط وحفظ كلمات المرور والمتغيرات والمنطق.,المرحلة_87
rathena-master/npc/quests/seals/god_weapon_creation.txt,المهام,مراجعة حوارية عميقة,مكتمل,88,مراجعة كاملة لصناعة الأدوات الإلهية لدى غرونبورتي، مع توحيد الأسماء والمواد ورسائل المؤقت والإعلانات ومزامنة لوحة حالة الأختام.,المرحلة_88
rathena-master/npc/quests/seals/megingard_seal.txt,المهام,مراجعة حوارية عميقة,مكتمل,89,مراجعة كاملة لختم ميغينغجارد والتحقيق في مصير الفرقة الأولى، مع توحيد أسماء الشخصيات والمواد ومزامنة سجل المهام.,المرحلة_89
rathena-master/npc/quests/seals/mjolnir_seal.txt,المهام,مراجعة حوارية عميقة,مكتمل,90,مراجعة كاملة لختم ميولنير وحوارات تيالفي وروسكفا وأوستري وسودري وفيستري ونوردري، مع توحيد الخامات والصقل ورسائل القتال والأساطير.,المرحلة_90
rathena-master/npc/quests/seals/seal_status.txt,المهام,مراجعة حوارية عميقة,مكتمل,91,مراجعة كاملة للوحة حالة الأختام، مع تحسين اسم اللوحة وعناوين الحالة وصياغة ظهور الختم وفكه وحفظ جميع المتغيرات والحدود.,المرحلة_91
rathena-master/npc/quests/seals/sleipnir_seal.txt,المهام,مراجعة حوارية عميقة,مكتمل,92,مراجعة كاملة لختم سليبنير ومختبر يونو والباحثين الأربعة واللوح الحجري وحكاية لانيا، مع توحيد أسماء العناصر والمصطلحات وحفظ كلمات اللوح والمنطق.,المرحلة_92
rathena-master/npc/quests/skills/acolyte_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,93,مراجعة كاملة لمهمة تعلم مهارة ضوء مقدس، مع توحيد اسم المهارة والعناصر ومتطلبات مستوى الوظيفة والفئات وحوار المريد كليفت.,المرحلة_93
rathena-master/npc/quests/skills/alchemist_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,94,مراجعة كاملة لمهمة دليل صنع الجرعات العنصرية ومهمة الأخلاقيات الحيوية، مع إصلاح محاذاة الحوار والشرط الحرفي، وتوحيد أسماء الهومنكولوس والمهارات والعناصر والشخصيات.,المرحلة_94
rathena-master/npc/quests/skills/archer_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,95,مراجعة كاملة لمهمتي صناعة السهام وسهم شاحن لدى روبرتو وجيسون، مع توحيد أسماء المهارات والعناصر وتحسين الحوارات ومتطلبات المستويات والفئات.,المرحلة_95
rathena-master/npc/quests/skills/assassin_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,96,مراجعة كاملة لمهمتي رمي سكين السم وتسارع صوتي لدى كيلتين وإسميل، مع تحسين التدريب ومشاهد التوابيت والتماثيل والسرداب ومزامنة سجل المهام.,المرحلة_96
rathena-master/npc/quests/skills/bard_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,97,مراجعة كاملة لمهمة صوت بانغ لدى ريوت وقصة الشاب الخجول ومطاردة الدجاجة ييل وحوارات السكيرين، مع استعادة سطرين مفقودين وتوحيد المهارة والعناصر والشخصيات.,المرحلة_97
rathena-master/npc/quests/skills/blacksmith_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,98,مراجعة كاملة لمهمتي خدعة غير عادلة وجشع لدى أكي وغودمان، مع استعادة سطر مفقود وتوحيد المهارات والعناصر والفئات وحوارات سك الزيني واختبار الوزن.,المرحلة_98
rathena-master/npc/quests/skills/crusader_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,99,مراجعة كاملة لمهمة انكماش لدى فورد وسلوتيي والأب آرثر، مع حذف سطر زائد واستعادة المحاذاة وتوحيد المهارة والشخصيات والعناصر وصياغة اللاعب المحايدة.,المرحلة_99
rathena-master/npc/quests/skills/dancer_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,100,مراجعة كاملة لمهمة غمزة ساحرة لدى كانيل وآيل، مع توحيد المهارة والعناصر والشخصيات وتحسين التدريب والحوارات ومزامنة سجل المهام.,المرحلة_100
rathena-master/npc/quests/skills/hunter_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,101,مراجعة كاملة لمهمة سهم وهمي لدى أربستو وريدين كورس، مع توحيد المهارة والعناصر والشخصيات وتحسين الحوار الكوميدي ومتطلبات مستوى الوظيفة وصياغة اللاعب المحايدة.,المرحلة_101
rathena-master/npc/quests/skills/knight_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,102,مراجعة كاملة لمهمة هجوم شاحن لدى إسوفيت وجولة القسم السابع، مع توحيد المهارة والعناصر والشخصيات وتحسين السخرية من البيروقراطية والتدريب والحفاظ على المنطق.,المرحلة_102
rathena-master/npc/quests/skills/mage_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,103,مراجعة كاملة لمهمة غلاف الطاقة لدى بليزاردريس، مع توحيد المهارة والعناصر وشروط الساحر والساحر العظيم والحكيم وتحسين الطقس السحري والحوار والحفاظ على المنطق.,المرحلة_103
rathena-master/npc/quests/skills/merchant_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,104,مراجعة كاملة لمهمات ضجة مجنونة وتغيير العربة وثورة العربة لدى نيكو وتشارلرون وغيرشاون، مع توحيد المهارات والعناصر وإصلاح نكتة العربة والبطاقة وتحسين الحوارات المتكررة.,المرحلة_104
rathena-master/npc/quests/skills/monk_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,105,مراجعة كاملة لمهمتي نقل كي وانفجار كي، مع توحيد المهارتين واسم ماندراغورا والعناصر وتحسين الفلسفة والتدريب والاختبارات والحفاظ على المنطق.,المرحلة_105
rathena-master/npc/quests/skills/novice_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,106,مراجعة كاملة لمهمتي إسعافات أولية والتظاهر بالموت لدى نامي وعضو الفرسان ومدرب التمريض، مع توحيد المهارتين والعناصر وإصلاح تناقضات الحوار وصياغة اللاعب.,المرحلة_106
rathena-master/npc/quests/skills/priest_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,107,مراجعة كاملة لمهمة ريديمبتيو لدى الأخت لينوس، مع توحيد ريديمبتيو وبعث ومارغريتا سورين والعناصر وتحسين قصة الراهبة وطقس التعلم وفروع النجاح والفشل.,المرحلة_107
rathena-master/npc/quests/skills/rogue_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,108,مراجعة كاملة لمهمة حبس محكم وقصة هايجارا غريغ وأبنائه وتدريب كيينا، مع توحيد المهارات والشخصيات وتحسين الحوارات والشرح الفني والحفاظ على المنطق.,المرحلة_108
rathena-master/npc/quests/skills/sage_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,109,مراجعة كاملة لمهمتي إنشاء محول عنصري وتغيير العنصر، مع استعادة المحاذاة وحذف سطر زائد وتوحيد المهارات والعناصر واسم ميشونا ومزامنة سجل المهام والملاحة.,المرحلة_109
rathena-master/npc/quests/skills/swordman_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,110,مراجعة كاملة لمهمات استعادة HP أثناء الحركة وضربة قاتلة وهياج تلقائي لدى دي توماس وليون وخوان، مع توحيد المهارات والعناصر وتحسين الحوارات ومتطلبات التعلم والحفاظ على المنطق.,المرحلة_110
rathena-master/npc/quests/skills/thief_skills.txt,المهام,مراجعة حوارية عميقة,مكتمل,111,مراجعة كاملة لمهمات نثر الرمل وانزلاق للخلف والتقاط حجر ورمي حجر لدى ألكوسكو وروروموني، مع توحيد المهارات والعناصر وتحسين الحوارات والتدريب والحفاظ على المنطق.,المرحلة_111
