رقم السطر,النص السابق,النص الجديد,المرجع الإنجليزي,سبب التعديل,نوع التعديل
467,5 أرقام في صف واحد!,خمسة خطوط بالفعل!,5 numbers in a row!,إزالة التناقض مع شرط خمسة خطوط في منطق السكربت.,دقة لعب
468,بسرعة، قل ''^FF0000Bingo^000000!'',أسرع واكتب ''^FF0000Bingo^000000!'',"Quickly, say 'Bingo!'",مطابقة التعليمات مع أمر input.,دقة لعب
469,تذكر، ستكون لديك,تذكر، لديك,"Remember, you'll only",تحسين الصياغة.,حوار
470,فرصة واحدة فقط لقولها!,محاولة واحدة فقط لكتابتها!,have one chance to say it!,مطابقة وصف المحاولة مع الإدخال الكتابي.,دقة لعب
482,يا للأسف! أنا آسف، لكن,عذرا، لكن,"Oh no! I'm sorry, but",اختصار التكرار وتحسين النبرة.,حوار
483,شخصا ما صرخ,أحدهم أعلن,someone already yelled,صياغة محايدة ومناسبة للإدخال.,حوار
485,أنا آسف، لكنك أضعت,لقد فاتتك,you missed,إزالة التكرار وتحسين الصياغة.,حوار
486,فرصتك! حظا أوفر,الفرصة. حظا أوفر,your chance! Better luck,إكمال الجملة بسلاسة.,حوار
487,في المرة القادمة، حسنا؟,في الجولة القادمة!,"next time, alright?",صياغة مناسبة لسياق جولة اللعب.,حوار
492,أنا آسف، لكنك,عذرا،,"I'm sorry, but you",تحسين رسالة الإدخال الخاطئ.,حوار
493,قلتها بشكل خاطئ. في المرة القادمة،,لم تكتبها بالشكل الصحيح. في المرة القادمة،,"said it wrong. Next time,",توضيح أن الخطأ في النص المكتوب.,دقة لعب
494,تأكد من أن تصرخ,تأكد من كتابة,make sure that you yell,مطابقة التعليمات مع input.,دقة لعب
495,بالكلمة، ''^FF0000Bingo^000000،'' حسنا؟,الكلمة ''^FF0000Bingo^000000'' كما هي.,"the word, 'Bingo,' okay?",إظهار النص المطلوب بدقة دون فاصلة داخله.,دقة لعب
667,يوكران: واو، بينغو! إنها بينغو!,يوكران: رائع، Bingo! لدينا فائز!,"Wow, Bingo! It's Bingo!",تحسين إعلان الفوز وتثبيت كلمة الإدخال.,إعلان
671,"يوكران: ""+$@bingowinner$+"" قال بينغو!","يوكران: ""+$@bingowinner$+"" أعلن Bingo!",winner has said Bingo,توحيد كلمة الفوز وصياغة الإعلان.,إعلان
676,"يوكران: تهانينا، ""+$@bingowinner$+""! ستتم مكافأتك بـ 50 ميدالية مارفلوس.","يوكران: تهانينا، ""+$@bingowinner$+""! ستحصل على 50 ميدالية مارفلوس.",rewarded with 50 Marvelous Medals,صياغة مباشرة للمكافأة.,إعلان
678,"يوكران: تهانينا، ""+$@bingowinner$+""! ستتم مكافأتك بميدالية مارفلوس واحدة.","يوكران: تهانينا، ""+$@bingowinner$+""! ستحصل على ميدالية مارفلوس واحدة.",rewarded with 1 Marvelous Medal,صياغة مباشرة للمكافأة المفردة.,إعلان
682,يوكران: شكرا لكم جميعا على المشاركة في اللعبة. أراكم في المرة القادمة!,يوكران: شكرا للجميع على المشاركة. نراكم في الجولة القادمة!,Thank you all for participating. See you next time!,صياغة محايدة وطبيعية.,إعلان
864,"يوكران: الرقم ""+ callfunc(""F_GetNumSuffix"",.@num) +"" هو ""+ $bingo[.@num - 1] +"". يرجى التحقق من لوحة بينغو الخاصة بك.","يوكران: السحب ""+ callfunc(""F_GetNumSuffix"",.@num) +"" هو الرقم ""+ $bingo[.@num - 1] +"". تحقق من لوحة بينغو.",The ordinal number is value. Please check your Bingo Plate.,تمييز ترتيب السحب عن الرقم المعلن مع إبقاء الدالة الرسمية.,إعلان
876,إذا أردت لعب,إذا أردت المشاركة في,If you'd like to play,تحسين صياغة المساعدة.,حوار
878,فيرجى التقدم من هذا الطريق.,فتقدم من هذا الطريق.,please proceed this way.,تصحيح الصياغة.,حوار
886,صالة لعبة بينغو.,صالة ألعاب بينغو.,Bingo Game Arcade.,تحسين اسم المكان.,حوار
887,هل ترغب في لعب,هل ترغب في المشاركة في,Care to play a game of,صياغة طبيعية.,حوار
888,لعبة بينغو؟ إذا كانت لديك,جولة بينغو؟ إذا كانت لديك,bingo? If you have any,استخدام مصطلح الجولة لتجنب التكرار.,حوار
891,قواعد بينغو:غرفة بينغو:ميداليات مارفلوس,قواعد بينغو:غرفة اللعب:ميداليات مارفلوس,Rules for Bingo:Bingo Room:Marvelous Medals,توضيح خيار غرفة اللعب.,خيار
894,قواعد لعب بينغو,قواعد بينغو,The rules for playing bingo,اختصار العنوان.,حوار
895,بسيطة. أولا، خذ لوحة,بسيطة. أولا، ستحصل على لوحة,"are simple. First, take a board",تحسين تسلسل الشرح.,حوار
896,تحتوي على 25 خانة منظمة بحيث,تتكون من 25 خانة مرتبة في,with 25 boxes organized so that,وصف أدق لبنية اللوحة.,حوار
897,تكون هناك خمسة صفوف وخمسة,خمسة صفوف وخمسة,there are five rows and five,إكمال الجملة العربية بسلاسة.,حوار
898,أعمدة. ثم، رقم,أعمدة. بعد ذلك، رقم,"columns. Then, number the",تحسين رابط التسلسل.,حوار
899,الخانات بأي ترتيب تريده.,الخانات بأي ترتيب تختاره.,boxes in any order you like.,صياغة محايدة.,حوار
902,بالطبع، يجب أن تستخدم,يجب استخدام,"Of course, you must use",صياغة محايدة ومباشرة.,حوار
904,عندما تكون لوحة بينغو,عندما تصبح لوحات بينغو,When everyone's bingo board,مطابقة الجمع المقصود.,حوار
905,الخاصة بكل شخص جاهزة، ستبدأ اللعبة.,جاهزة، ستبدأ اللعبة.,"is ready, the game will begin.",إزالة الحرفية وتحسين الربط.,حوار
906,سينادي منسق اللعبة لدينا رقما عشوائيا من 1 إلى 25.,سيعلن منسق اللعبة رقما عشوائيا من 1 إلى 25.,coordinator will call out a number from 1 to 25,توحيد فعل الإعلان.,حوار
909,في كل مرة ينادي فيها المنسق,في كل مرة يعلن فيها المنسق,Each time the coordinator calls out,توحيد المصطلح.,حوار
910,رقما، تأكد,رقما، تحقق,"calls out a number, make sure",صياغة محايدة.,حوار
911,من تحديد الخانة المرقمة,من تحديد الخانة التي تحمل,mark the corresponding numbered square,تحسين الوصف.,حوار
912,المطابقة على لوحة,الرقم المطابق على لوحة,corresponding numbered square on your bingo,إكمال المعنى بدقة.,حوار
913,بينغو الخاصة بك. والآن، هذه هي,بينغو. وهذه هي,"board. Now, these are the",صياغة محايدة.,حوار
917,إذا استطعت تكوين خط,إذا استطعت إكمال خمسة خطوط,If you can make a line,مواءمة الشرح مع شرط السكربت الفعلي: أكثر من أربعة خطوط.,دقة لعب
918,من 5 خانات متتالية، أفقيا أو عموديا أو قطريا، باستخدام,من 5 خانات متتالية أفقيا أو عموديا أو قطريا، باستخدام,"5 squares in a row, horizontally, vertically, or diagonally",تحسين علامات الترقيم.,حوار
919,الأرقام التي نادى بها,الأرقام التي أعلنها,numbers called out by the,توحيد فعل الإعلان.,حوار
920,المنسق، فاسرع واصرخ,المنسق، فأسرع واكتب,"coordinator, you quickly yell",مطابقة الإرشاد مع الإدخال الكتابي.,دقة لعب
921,بالكلمة، ''Bingo.'',الكلمة ''Bingo''.,"the word, 'Bingo.'",إزالة النقطة من داخل النص المطلوب إدخاله.,دقة لعب
924,إذا كنت أول من يصرخ,إذا كنت أول من يكتب,If you are the first to yell,مطابقة الإرشاد مع input.,دقة لعب
925,بالكلمة، ''Bingo،'' فستفوز!,الكلمة ''Bingo'' فستفوز!,"the word, 'Bingo,' you'll win!",إزالة الفاصلة من النص المطلوب.,دقة لعب
926,لكن إذا سبقك أحدهم,أما إذا سبقك أحد,But if someone beats you,صياغة محايدة.,حوار
927,إلى ذلك، فلا حيلة في الأمر.,إلى ذلك، فستضيع الفرصة.,"to it, then it can't be helped.",توضيح نتيجة التأخر.,حوار
928,على أي حال، تكلفة لعب كل,تكلفة المشاركة في كل,"it costs 1,000 zeny",صياغة مباشرة.,حوار
929,"لعبة بينغو هي 1,000 زيني~","جولة بينغو هي 1,000 زيني~",to play each bingo game~,توحيد مصطلح الجولة.,حوار
933,آه، إذا أردت الانضمام إلى,للانضمام إلى,if you want to join a,تحسين بداية الشرح.,حوار
934,لعبة بينغو، فادخل من الباب,جولة بينغو، ادخل من الباب,"bingo game, enter the right door",توحيد مصطلح الجولة.,حوار
935,الأيمن. يجب أن يكون هناك على الأقل,الأيمن. يلزم وجود,There must be at least,اختصار واضح.,حوار
936,5 أشخاص للعب، لذلك,5 لاعبين على الأقل، لذلك,5 people to play a game,توضيح المقصود بالعدد.,حوار
937,قد تحتاج إلى الانتظار حتى,قد تضطر إلى الانتظار حتى,you may need to wait until,تحسين الصياغة.,حوار
938,يكتمل هذا الشرط.,يكتمل العدد.,requirement is fulfilled.,تحديد الشرط المقصود.,حوار
941,إذا كنت تريد فقط,أما إذا أردت فقط,If you just want to,صياغة محايدة.,حوار
942,مشاهدة لعبة بينغو،,مشاهدة جولة بينغو،,watch the bingo game,توحيد مصطلح الجولة.,حوار
943,فيمكنك دخول,فادخل من,you may enter the,صياغة مباشرة.,حوار
944,الباب الأيسر كمتفرج,الباب الأيسر بصفة متفرج,left door as a spectator,تحسين الصياغة.,حوار
945,في غرفة بينغو.,إلى غرفة بينغو.,in the Bingo Room.,تصحيح حرف الجر.,حوار
949,عندما تفوز في لعبة,عند الفوز في جولة,When you win a bingo,صياغة محايدة.,حوار
950,بينغو، ستتم مكافأتك,بينغو، ستحصل,"game, you will be rewarded",صياغة مباشرة.,حوار
951,بـ ''ميداليات مارفلوس،'',على ''ميداليات مارفلوس''،,"with 'Marvelous Medals,'",تصحيح حرف الجر وعلامة الترقيم.,مصطلح
952,والتي لا يمكن استخدامها إلا داخل,ولا يمكن استخدامها إلا داخل,which can only be used within,تحسين الربط.,حوار
953,هذه الصالة. كما لا يمكنك تبادل الميداليات مع اللاعبين الآخرين.,هذه الصالة، ولا يمكن مبادلتها مع اللاعبين الآخرين.,You also can't trade medals with other players.,صياغة محايدة وتوضيح عدم المبادلة.,حوار
956,عادة تحصل على ميدالية,ستحصل عادة على ميدالية,You usually get 1 Marvelous,تحسين ترتيب الجملة.,حوار
957,مارفلوس واحدة عند الفوز بلعبة بينغو،,مارفلوس واحدة عند الفوز بجولة بينغو،,Medal for winning a bingo game,توحيد مصطلح الجولة.,حوار
958,لكن يمكنك الفوز بـ 50 ميدالية دفعة واحدة,لكن يمكن الفوز بـ 50 ميدالية دفعة واحدة,you can win 50 at one time,صياغة محايدة.,حوار
959,في ظروف خاصة. يمكنك,في ظروف خاصة. ويمكنك,under special conditions. You,تحسين الربط.,حوار
960,أيضا لعب ألعاب سباق الوحوش,أيضا المشاركة في سباقات الوحوش,also play Monster Racing games,صياغة طبيعية وتوحيد اسم النشاط.,مصطلح
961,للفوز بمزيد من الميداليات.,لكسب المزيد من الميداليات.,to win more medals.,تحسين الصياغة.,حوار
965,ميداليات مارفلوس، وقم,ميداليات مارفلوس، ثم,"Marvelous Medals as you can, and trade",تحسين الربط.,حوار
966,بمبادلتها بمنتجات في حلبة سباق الوحوش. سمعت أن هناك أيضا,استبدلها بجوائز في حلبة سباق الوحوش. سمعت أن هناك أيضا,trade them for products in the Monster Racing Arena,استخدام مصطلح الجوائز الأنسب للسياق.,حوار
967,مكانا في أينبروخ يمكنك استخدامها فيه، لكنني لا أعرف.,مكانا في إينبروخ يمكن استخدامها فيه، لكنني لا أعرف التفاصيل.,a place in Einbroch where you can use them,توحيد اسم إينبروخ وصياغة الخاتمة.,اسم مكان
