رقم,الملف,السطر,النوع,النص قبل,النص بعد,ملاحظة
19,rathena-master/npc/other/gympass.txt,33,تنقيح لغوي,"	mes ""فقط أعطني ^FF0000بطاقة النادي الرياضي^000000"";","	mes ""كل ما أحتاجه هو ^FF0000بطاقة النادي الرياضي^000000"";",تغيير نصي فقط؛ منطق السكربت محفوظ
20,rathena-master/npc/other/gympass.txt,34,تنقيح لغوي,"	mes ""في كل مرة، وسنكون جاهزين"";","	mes ""في كل مرة، وعندها يمكننا"";",تغيير نصي فقط؛ منطق السكربت محفوظ
21,rathena-master/npc/other/gympass.txt,35,تنقيح لغوي,"	mes ""للانطلاق."";","	mes ""بدء التدريب."";",تغيير نصي فقط؛ منطق السكربت محفوظ
22,rathena-master/npc/other/gympass.txt,37,تنقيح لغوي,"	mes ""[المفتول]"";","	mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
23,rathena-master/npc/other/gympass.txt,38,تنقيح لغوي,"	mes ""لكن لا تتحمس كثيرا:"";","	mes ""لكن لا داعي للحماس الزائد:"";",تغيير نصي فقط؛ منطق السكربت محفوظ
24,rathena-master/npc/other/gympass.txt,39,تنقيح لغوي,"	mes ""مهما كان مقدار التدريب"";","	mes ""فمهما كان مقدار التدريب"";",تغيير نصي فقط؛ منطق السكربت محفوظ
25,rathena-master/npc/other/gympass.txt,40,تنقيح لغوي,"	mes ""الذي سأخضعك له، يمكنك"";","	mes ""الذي سنخوضه، تظل هناك"";",تغيير نصي فقط؛ منطق السكربت محفوظ
26,rathena-master/npc/other/gympass.txt,41,تنقيح لغوي,"	mes ""أن تبالغ في الأمر. هل سمعت"";","	mes ""خطورة من الإفراط. هل سمعت"";",تغيير نصي فقط؛ منطق السكربت محفوظ
27,rathena-master/npc/other/gympass.txt,42,تنقيح لغوي,"	mes ""من قبل عن شخص صار مفتول العضلات"";","	mes ""عن شخص صار مفتول العضلات"";",تغيير نصي فقط؛ منطق السكربت محفوظ
28,rathena-master/npc/other/gympass.txt,44,تنقيح لغوي,"	mes ""هذا لأنهم ماتوا. فهمت؟"";","	mes ""لم تسمع، لأنهم ماتوا. واضح؟"";",تغيير نصي فقط؛ منطق السكربت محفوظ
29,rathena-master/npc/other/gympass.txt,46,تنقيح لغوي,"	mes ""[المفتول]"";","	mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
30,rathena-master/npc/other/gympass.txt,47,تنقيح لغوي,"	mes ""أقول إن من الآمن لك"";","	mes ""أرى أن التدريب الجاد معي"";",تغيير نصي فقط؛ منطق السكربت محفوظ
31,rathena-master/npc/other/gympass.txt,48,تنقيح لغوي,"	mes ""أن تتدرب معي بجدية"";","	mes ""آمن، ويمكنه زيادة"";",تغيير نصي فقط؛ منطق السكربت محفوظ
32,rathena-master/npc/other/gympass.txt,49,تنقيح لغوي,"	mes ""وتزيد قدرة حمل العناصر"";","	mes ""سعة حمل العناصر لديك"";",تغيير نصي فقط؛ منطق السكربت محفوظ
33,rathena-master/npc/other/gympass.txt,50,تنقيح لغوي,"	mes ""لديك ^FF000010 مرات^000000."";","	mes ""حتى ^FF000010 مرات^000000."";",تغيير نصي فقط؛ منطق السكربت محفوظ
34,rathena-master/npc/other/gympass.txt,51,تنقيح لغوي,"	mes ""إذن... هل أنت مستعد للتعرق؟"";","	mes ""إذن... هل نبدأ التمرين؟"";",تغيير نصي فقط؛ منطق السكربت محفوظ
35,rathena-master/npc/other/gympass.txt,53,تنقيح لغوي,"	switch(select(""نعم:لا:أم، تأثير تماريني زال."")) {","	switch(select(""نعم:لا:همم، اختفى أثر تدريبي."")) {",تغيير نصي فقط؛ منطق السكربت محفوظ
36,rathena-master/npc/other/gympass.txt,59,تنقيح لغوي,"				mes ""[المفتول]"";","				mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
37,rathena-master/npc/other/gympass.txt,60,تنقيح لغوي,"				mes ""رائع جدا، أرى أنك"";","				mes ""رائع، أرى أن"";",تغيير نصي فقط؛ منطق السكربت محفوظ
38,rathena-master/npc/other/gympass.txt,61,تنقيح لغوي,"				mes ""أحضرت بطاقة النادي الرياضي."";","				mes ""بطاقة النادي الرياضي معك."";",تغيير نصي فقط؛ منطق السكربت محفوظ
39,rathena-master/npc/other/gympass.txt,62,تنقيح لغوي,"				mes ""حسنا، افعل ما أفعله فقط،"";","				mes ""حسنا، اتبع حركاتي،"";",تغيير نصي فقط؛ منطق السكربت محفوظ
40,rathena-master/npc/other/gympass.txt,63,تنقيح لغوي,"				mes ""وحاول أن تشعر بحرارة التمرين."";","				mes ""وركز على حرارة التمرين."";",تغيير نصي فقط؛ منطق السكربت محفوظ
41,rathena-master/npc/other/gympass.txt,64,تنقيح لغوي,"				mes ""مستعد؟ لنبدأ."";","				mes ""هيا، لنبدأ."";",تغيير نصي فقط؛ منطق السكربت محفوظ
42,rathena-master/npc/other/gympass.txt,74,تنقيح لغوي,"				mes ""[المفتول]"";","				mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
43,rathena-master/npc/other/gympass.txt,75,تنقيح لغوي,"				mes ""ها قد انتهينا، يجب أن تتمكن"";","				mes ""انتهينا. يفترض الآن"";",تغيير نصي فقط؛ منطق السكربت محفوظ
44,rathena-master/npc/other/gympass.txt,76,تنقيح لغوي,"				mes ""من حمل المزيد من الأغراض معك."";","				mes ""أن تزداد قدرتك على حمل الأغراض."";",تغيير نصي فقط؛ منطق السكربت محفوظ
45,rathena-master/npc/other/gympass.txt,77,تنقيح لغوي,"				mes ""لنر، يمكننا زيادة"";","				mes ""لنر... ما زال بإمكاننا"";",تغيير نصي فقط؛ منطق السكربت محفوظ
46,rathena-master/npc/other/gympass.txt,78,تنقيح لغوي,"				mes ""قدرة حمل العناصر لديك"";","				mes ""زيادة سعة حمل العناصر"";",تغيير نصي فقط؛ منطق السكربت محفوظ
47,rathena-master/npc/other/gympass.txt,80,تنقيح لغوي,"				mes ""التدرب معا بهذه الطريقة."";","				mes ""بالتدريب معا بهذه الطريقة."";",تغيير نصي فقط؛ منطق السكربت محفوظ
48,rathena-master/npc/other/gympass.txt,87,تنقيح لغوي,"				mes ""[المفتول]"";","				mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
49,rathena-master/npc/other/gympass.txt,88,تنقيح لغوي,"				mes ""يا صاح، ماذا قلت لك؟"";","				mes ""اسمع، ماذا قلت؟"";",تغيير نصي فقط؛ منطق السكربت محفوظ
50,rathena-master/npc/other/gympass.txt,89,تنقيح لغوي,"				mes ""عليك أن تحضر لي"";","				mes ""لا بد من إحضار"";",تغيير نصي فقط؛ منطق السكربت محفوظ
51,rathena-master/npc/other/gympass.txt,90,تنقيح لغوي,"				mes ""^FF0000بطاقة النادي الرياضي^000000 إذا أردت"";","				mes ""^FF0000بطاقة النادي الرياضي^000000 لبدء"";",تغيير نصي فقط؛ منطق السكربت محفوظ
52,rathena-master/npc/other/gympass.txt,91,تنقيح لغوي,"				mes ""أن تتمرن، وتقوي عضلات"";","				mes ""التمرين وتقوية عضلات"";",تغيير نصي فقط؛ منطق السكربت محفوظ
53,rathena-master/npc/other/gympass.txt,97,تنقيح لغوي,"			mes ""[المفتول]"";","			mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
54,rathena-master/npc/other/gympass.txt,98,تنقيح لغوي,"			mes ""يا صاح، لا أظن أننا نستطيع"";","			mes ""لا أظن أننا نستطيع"";",تغيير نصي فقط؛ منطق السكربت محفوظ
55,rathena-master/npc/other/gympass.txt,100,تنقيح لغوي,"			mes ""لديك أكثر من ذلك."";","			mes ""أكثر من ذلك."";",تغيير نصي فقط؛ منطق السكربت محفوظ
56,rathena-master/npc/other/gympass.txt,101,تنقيح لغوي,"			mes ""سيكون الأمر خطيرا جدا على"";","			mes ""حتى محاولة ذلك ستكون"";",تغيير نصي فقط؛ منطق السكربت محفوظ
57,rathena-master/npc/other/gympass.txt,102,تنقيح لغوي,"			mes ""جسدك لو حاولنا حتى! هيا،"";","			mes ""خطيرة جدا على الجسد!"";",تغيير نصي فقط؛ منطق السكربت محفوظ
58,rathena-master/npc/other/gympass.txt,103,تنقيح لغوي,"			mes ""لقد أخبرتك عن الحدود."";","			mes ""لقد شرحت حدود التدريب."";",تغيير نصي فقط؛ منطق السكربت محفوظ
59,rathena-master/npc/other/gympass.txt,107,تنقيح لغوي,"		mes ""[المفتول]"";","		mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
60,rathena-master/npc/other/gympass.txt,109,تنقيح لغوي,"		mes ""حسنا، عد إذا"";","		mes ""يمكن العودة حين"";",تغيير نصي فقط؛ منطق السكربت محفوظ
61,rathena-master/npc/other/gympass.txt,110,تنقيح لغوي,"		mes ""غيرت رأيك. أخبر"";","		mes ""يتغير رأيك. وانشر"";",تغيير نصي فقط؛ منطق السكربت محفوظ
62,rathena-master/npc/other/gympass.txt,111,تنقيح لغوي,"		mes ""أصدقاءك عني:"";","		mes ""الخبر بين أصدقائك:"";",تغيير نصي فقط؛ منطق السكربت محفوظ
63,rathena-master/npc/other/gympass.txt,112,تنقيح لغوي,"		mes ""إن كانوا مترهلين، فسأساعدهم"";","		mes ""من يحتاج منهم إلى اللياقة"";",تغيير نصي فقط؛ منطق السكربت محفوظ
64,rathena-master/npc/other/gympass.txt,113,تنقيح لغوي,"		mes ""على استعادة لياقتهم."";","		mes ""سأساعده على استعادتها."";",تغيير نصي فقط؛ منطق السكربت محفوظ
65,rathena-master/npc/other/gympass.txt,117,تنقيح لغوي,"			mes ""[المفتول]"";","			mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
66,rathena-master/npc/other/gympass.txt,119,تنقيح لغوي,"			mes ""هل تركت عضلات حمل العناصر"";","			mes ""هل ضعفت عضلات حمل العناصر"";",تغيير نصي فقط؛ منطق السكربت محفوظ
67,rathena-master/npc/other/gympass.txt,120,تنقيح لغوي,"			mes ""لديك تضعف وتضمر؟ من حسن"";","			mes ""وضمرت؟ من حسن الحظ"";",تغيير نصي فقط؛ منطق السكربت محفوظ
68,rathena-master/npc/other/gympass.txt,121,تنقيح لغوي,"			mes ""حظك أن هناك شيئا يسمى"";","			mes ""أن هناك ما يسمى"";",تغيير نصي فقط؛ منطق السكربت محفوظ
69,rathena-master/npc/other/gympass.txt,133,تنقيح لغوي,"			mes ""[المفتول]"";","			mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
70,rathena-master/npc/other/gympass.txt,134,تنقيح لغوي,"			mes ""ما رأيك بهذا؟"";","			mes ""ما رأيك؟"";",تغيير نصي فقط؛ منطق السكربت محفوظ
71,rathena-master/npc/other/gympass.txt,135,تنقيح لغوي,"			mes ""لقد عادت عضلات"";","			mes ""عادت عضلات"";",تغيير نصي فقط؛ منطق السكربت محفوظ
72,rathena-master/npc/other/gympass.txt,136,تنقيح لغوي,"			mes ""حمل العناصر لديك،"";","			mes ""حمل العناصر إلى قوتها،"";",تغيير نصي فقط؛ منطق السكربت محفوظ
73,rathena-master/npc/other/gympass.txt,137,تنقيح لغوي,"			mes ""هكذا بكل بساطة! حاول ألا"";","			mes ""وبهذه البساطة! لا تدعها"";",تغيير نصي فقط؛ منطق السكربت محفوظ
74,rathena-master/npc/other/gympass.txt,138,تنقيح لغوي,"			mes ""تضعف مرة أخرى، حسنا؟"";","			mes ""تضعف مرة أخرى، اتفقنا؟"";",تغيير نصي فقط؛ منطق السكربت محفوظ
75,rathena-master/npc/other/gympass.txt,143,تنقيح لغوي,"			mes ""[المفتول]"";","			mes ""[مفتول العضلات]"";",تغيير نصي فقط؛ منطق السكربت محفوظ
76,rathena-master/npc/other/gympass.txt,144,تنقيح لغوي,"			mes ""اممم..."";","			mes ""همم..."";",تغيير نصي فقط؛ منطق السكربت محفوظ
77,rathena-master/npc/other/gympass.txt,145,تنقيح لغوي,"			mes ""نحن لم نتدرب"";","			mes ""لم نتدرب"";",تغيير نصي فقط؛ منطق السكربت محفوظ
