english,canonical_arabic,category_or_context,source_stages,source_files,arabic_aliases,status,decision_note
Arunafeltz,أرونافلتز,اسم الدولة/المنطقة,13;14,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_14/dialogue_stage14_glossary.csv,,approved,Merged from stage glossaries.
Ashe Bruce,آش بروس,المعتمد في مهمة الختم,16,تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,,approved,Merged from stage glossaries.
Assassin,مغتال,قاموس الوظائف داخل الحزمة || قاموس الوظائف والمرحلة الرابعة,4;6,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Assassin Cross,سيد المغتالين,pcjobname.lub,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Assassin Cross of Sunset,المغتال عند الغروب,اسم مهارة/أغنية,26,تقارير_المراجعة_الحوارية/المرحلة_26/dialogue_stage26_glossary.csv,,approved,Merged from stage glossaries.
Assistant / Satoshi,مساعد الرحلة / ساتوشي,اسم العرض والمتحدث,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Awakening Potion,جرعة إيقاظ,itemInfo وملفات المهمات,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Ayothaya,أيوثايا,اسم المدينة المعتمد في الخرائط والملاحة والمهام داخل الحزمة,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Bacillus,عصية,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Bash,ضربة قوية,مهارة | مطابق لاسم المهارة المعتمد داخل ملفات المهارات في الحزمة,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Battered Kettle,غلاية مهترئة,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Benkaistein,بنكايستين,صديق ماكو وديغوتز,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Benknee,بينكني,اسم/طبقة سافا في النص,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Billik,بيليك,دليل الطريق إلى فايلين,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Bird Feather,ريش الطيور,عنصر,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Blast Furnace,الفرن العالي,منشأة صناعية,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Blessing,بركة,مهارة | توحيد الاسم داخل الحوار مع قاموس المهارات || تمييز اسم المهارة عن البركات العامة,1;16,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_16/dialogue_stage16_glossary.csv,مهارة البركة,resolved_initial_merge,"المصطلح العام واسم المهارة؛ تستخدم عبارة ""مهارة البركة"" فقط عند الحاجة السياقية."
Blue Gemstone,جوهرة زرقاء,عنصر | توحيد اسم العنصر في سياق متطلبات المهارات || خيار محجر الجمجمة.,1;28,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Bradium,براديوم,المعدن الرئيسي في مانوك,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Brasilis,برازيليس,اسم المدينة الموحد في الخرائط والنصائح والمهام.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Brasilis Hotel,فندق برازيليس,اسم الموقع.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Bungee Jump,القفز بالحبل,المعتمد في دليل أومبالا وملف النصائح,15,تقارير_المراجعة_الحوارية/المرحلة_15/dialogue_stage15_glossary.csv,,approved,Merged from stage glossaries.
Burielle,بورييل,اسم المنطاد,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Byalan Island,جزيرة بايلان,مكان | مطابق لملفات الملاحة والخرائط داخل الحزمة,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Cactus / Cacti,صبار / نباتات الصبار,,14,تقارير_المراجعة_الحوارية/المرحلة_14/dialogue_stage14_glossary.csv,,approved,Merged from stage glossaries.
Candy,حلوى,عنصر || العنصر 529,23;29,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Candy Cane,عصا حلوى,عنصر,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Cantata / Uncle Hairy,كانتاتا / العم كانتاتا,اسم الشخصية,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Carrot,جزر,System/LuaFiles514/itemInfo.lua، المعرّف 515,3,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv,,approved,Merged from stage glossaries.
Central Palace,القصر المركزي / قصر بايون المركزي,mapInfo وملفات بايون,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Charu Charu,تشارو تشارو,الفتى,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Cherry Tree,شجرة الكرز,اسم العرض المختصر للشجرة,17,تقارير_المراجعة_الحوارية/المرحلة_17/dialogue_stage17_glossary.csv,,approved,Merged from stage glossaries.
Cheshrumnir,تشيشرومنير,المعبد الكبير في راشيل,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Cheshrumnir Temple,معبد تشيشرومنير,,14,تقارير_المراجعة_الحوارية/المرحلة_14/dialogue_stage14_glossary.csv,,approved,Merged from stage glossaries.
Chief / Payon Chief,شيخ بايون,Navi_Data_EN.lub والمهام داخل الحزمة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
China,صحن صيني,العنصر 736,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Chris,كريس,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Claw of Dragon,مخلب التنين,اسم الأسلوب القتالي,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Clip,مشبك,itemInfo.lua، المعرّف 2607,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Clock Tower,برج الساعة,خرائط الحزمة ومرجع المدينة,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Coach,المدرب,اسم عرض NPC,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Comodo,كومودو,اسم المدينة,7,تقارير_المراجعة_الحوارية/المرحلة_07/dialogue_stage7_glossary.csv,,approved,Merged from stage glossaries.
Comodo Casino,كازينو كومودو,موقع,7,تقارير_المراجعة_الحوارية/المرحلة_07/dialogue_stage7_glossary.csv,,approved,Merged from stage glossaries.
Concentration Potion,جرعة تركيز,itemInfo,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Conch,محارة,العنصر 961,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Condensed White Potion,جرعة بيضاء مكثفة,إحدى جوائز التبرعات,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Cookie,بسكويت,عنصر,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Cool Event Corporation,شركة كول إيفنت,الاسم المتسق مع بقية الحزمة,12,تقارير_المراجعة_الحوارية/المرحلة_12/dialogue_stage12_glossary.csv,,approved,Merged from stage glossaries.
Crab Shell,صدفة سرطان,العنصر 964,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Crayu,كرايو,الشاعر صاحب اختبار الأغنية,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Creamy,كريمي,وحش | الاسم المستخدم في حوار برونتيرا وملفات الخادم,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Crewman,بحار,اسم وظيفة ناقل برازيليس.,21,تقارير_المراجعة_الحوارية/المرحلة_21/dialogue_stage21_glossary.csv,,approved,Merged from stage glossaries.
Crystal Fragment,شظية بلورة,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Csar Alexsay III,القيصر أليكساي الثالث,حاكم موسكوفيا,22,تقارير_المراجعة_الحوارية/المرحلة_22/dialogue_stage22_glossary.csv,,approved,Merged from stage glossaries.
Cure,علاج,مهارة | الاسم المعتمد في ملفات المهارات وحوار كنيسة برونتيرا,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Cyfar,سايفار,عنصر,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Dagger of Counter,خنجر الهجوم المضاد,سلاح,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Dark Crystal Fragment,شظية بلورة مظلمة,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Deniro,دينيرو,mob_db.yml، المعرّف 1105,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Detzi,ديتزي,اسم شخصية,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Discount,خصم,skillinfolist.lub، SKID.MC_DISCOUNT,3,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv,,approved,Merged from stage glossaries.
Double Attack,هجوم مزدوج,skillinfolist.lub، SKID.TF_DOUBLE,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Dragon Fly,ذبابة التنين,mob_db.yml، المعرّف 1091,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Drama Teacher,معلمة تمثيل,مراعاة جنس الشخصية وتقصير الاسم,17,تقارير_المراجعة_الحوارية/المرحلة_17/dialogue_stage17_glossary.csv,,approved,Merged from stage glossaries.
Duffle,دافل,اسم الشخصية المؤنثة,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Dust Pollutant,ملوث غباري,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Eik,إيك,اسم شخصية,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Einbech,إينبيخ,مدينة التعدين الشقيقة || مدينة || مدينة | مثبتة في المرحلتين 9 و10,9;10;31,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Einbroch,إينبروخ,المدينة الصناعية || مدينة,9;10,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Einbroch Tower,برج إينبروخ,معلم المدينة,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Elder,المرأة العجوز,شخصية أنثى,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Eliese,إليز,Navi_Data_EN.lub وOngoingQuestInfoList_True_EN.lub,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Elly,إيلي,زوجة إيريوس الراحلة,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Emily,إيميلي,شخصية,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Emveretarcon,إمفيريتاركون,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Erious,إيريوس,صاحب مهمة إيصال الرسالة,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Esuna,إيسونا,عضوة الجناح السري,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Euslan,أوسلان,شخصية | إزالة صيغ إوسلان/إسلان/يوسلان,31,تقارير_المراجعة_الحوارية/المرحلة_31/dialogue_stage31_glossary.csv,,approved,Merged from stage glossaries.
Fabre,فابر,وحش | الاسم المستخدم في حوار برونتيرا وملفات الخادم,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
False Angel,ملاك زائف,وحش,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Feather of Birds,ريشة طيور,متطلب تعلم لغة ووتان.,28,تقارير_المراجعة_الحوارية/المرحلة_28/dialogue_stage28_glossary.csv,,approved,Merged from stage glossaries.
Feudal Lord Permit,تصريح السيد الإقطاعي,العنصر 7160,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Feylin,فايلين,مستحضر الأرواح في نيفلهايم,27,تقارير_المراجعة_الحوارية/المرحلة_27/dialogue_stage27_glossary.csv,,approved,Merged from stage glossaries.
Firecracker,مفرقعة,عنصر,11,تقارير_المراجعة_الحوارية/المرحلة_11/dialogue_stage11_glossary.csv,,approved,Merged from stage glossaries.
Fish Tail,ذيل سمكة,العنصر 1023,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Fishing Spot,منطقة الصيد,موقع الصيد في أيوثايا,20,تقارير_المراجعة_الحوارية/المرحلة_20/dialogue_stage20_glossary.csv,,approved,Merged from stage glossaries.
Flu Mask,قناع الإنفلونزا,عنصر,9,تقارير_المراجعة_الحوارية/المرحلة_09/dialogue_stage9_glossary.csv,,approved,Merged from stage glossaries.
Fluorescent Liquid,سائل متوهج,عنصر,10,تقارير_المراجعة_الحوارية/المرحلة_10/dialogue_stage10_glossary.csv,,approved,Merged from stage glossaries.
Freya,فريا,الإلهة التي يعبدها سكان المنطقة,13;14,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv;تقارير_المراجعة_الحوارية/المرحلة_14/dialogue_stage14_glossary.csv,,approved,Merged from stage glossaries.
Freya’s Follower,تابع فريا / أتباع فريا,بحسب المفرد أو الجمع والجنس,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
Gakkung Bow,قوس غاكونغ,itemInfo وملفات الكتب والتجار داخل الحزمة,5,تقارير_المراجعة_الحوارية/المرحلة_05/dialogue_stage5_glossary.csv,,approved,Merged from stage glossaries.
Galtun,غالتون,طبقة المحاربين لدى سافا,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Gate Soldier,حارس البوابة,اسم عرض NPC,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Geffen,غيفن,المراحل السابقة وملفات الخرائط,3,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv,,approved,Merged from stage glossaries.
Gemstone,جوهرة / جواهر,itemInfo والسياق,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Geographer,جيوغرافير,وحش,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Ghalstein,غالشتاين,الرجل العادي/عضو الجناح السري,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Ghost Property,خاصية الشبح,قاموس الخصائص داخل الحزمة,6,تقارير_المراجعة_الحوارية/المرحلة_06/dialogue_stage6_glossary.csv,,approved,Merged from stage glossaries.
Ghostring,غوسترينغ,mob_db.yml، المعرّف 1120,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Giant Dumpling,الزلابية العملاقة,طبق محلي مذكور في الحوار,18,تقارير_المراجعة_الحوارية/المرحلة_18/dialogue_stage18_glossary.csv,,approved,Merged from stage glossaries.
Giant Hornet,دبور عملاق,وحش | الصيغة المفردة المعتمدة في سياق برونتيرا,1,rathena-master/npc/cities/prontera.txt,الدبابير العملاقة,approved,Confirmed in review cycle 2 stage 1.
Giearth / Guias,جي إيرث,mob_db.yml، المعرّف 1121؛ السياق يذكر روح الأرض والمجرفة,4,تقارير_المراجعة_الحوارية/المرحلة_04/dialogue_stage4_glossary.csv,,approved,Merged from stage glossaries.
Goat,ماعز,وحش,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Golem,غولم,وحش | توحيد اسم الوحش مع قاعدة المصطلحات,1,تقارير_المراجعة_الحوارية/المرحلة_01/dialogue_stage1_glossary.csv,,approved,Merged from stage glossaries.
Gonryun,غونريون,اسم الخريطة في ملفات العميل,18,تقارير_المراجعة_الحوارية/المرحلة_18/dialogue_stage18_glossary.csv,,approved,Merged from stage glossaries.
Grand Peco,غراند بيكو,وحش,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Grand PecoPeco,غراند بيكو,اسم الوحش المثبت في الحزمة,15,تقارير_المراجعة_الحوارية/المرحلة_15/dialogue_stage15_glossary.csv,,approved,Merged from stage glossaries.
Gray Hollow,غراي هولو,اسم خام كما ورد في المرجع,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Gungnir,غونغنير,System/LuaFiles514/itemInfo.lua، المعرّف 1413,3,تقارير_المراجعة_الحوارية/المرحلة_03/dialogue_stage3_glossary.csv,,approved,Merged from stage glossaries.
Gushaar,غوشار,جهة الاتصال قرب يونو,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
Hardrock Mammoth,ماموث هاردروك,اسم وحش,25,تقارير_المراجعة_الحوارية/المرحلة_25/dialogue_stage25_glossary.csv,,approved,Merged from stage glossaries.
Hashokii,هاشوكي,المهرج,23,تقارير_المراجعة_الحوارية/المرحلة_23/dialogue_stage23_glossary.csv,,approved,Merged from stage glossaries.
Heal,شفاء,مهارة | الاسم المعتمد في ملفات المهارات وحوار كنيسة برونتيرا,1,rathena-master/npc/cities/prontera.txt,,approved,Confirmed in review cycle 2 stage 1.
Heart Island,جزيرة القلب,,24,تقارير_المراجعة_الحوارية/المرحلة_24/dialogue_stage24_glossary.csv,,approved,Merged from stage glossaries.
Heart of Mermaid,قلب حورية البحر,العنصر 950,29,تقارير_المراجعة_الحوارية/المرحلة_29/dialogue_stage29_glossary.csv,,approved,Merged from stage glossaries.
Heaven Peach,الخوخ السماوي,طبق محلي مذكور في الحوار,18,تقارير_المراجعة_الحوارية/المرحلة_18/dialogue_stage18_glossary.csv,,approved,Merged from stage glossaries.
Hes O'Neil,هيس أونيل,سكرتيرة الرئيس,34,تقارير_المراجعة_الحوارية/المرحلة_34/dialogue_stage34_glossary.csv,,approved,Merged from stage glossaries.
High Priestess Niren,الكاهنة المتقدمة نيرين,الصيغة المعتمدة داخل بقية الحزمة,13,تقارير_المراجعة_الحوارية/المرحلة_13/dialogue_stage13_glossary.csv,,approved,Merged from stage glossaries.
High-Ranking Soldier,ضابط لافين,اسم عرض مختصر,26,تقارير_المراجعة_الحوارية/المرحلة_26/dialogue_stage26_glossary.csv,,approved,Merged from stage glossaries.
Holy Avenger,المنتقم المقدس,سيف,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Holy Guard,الحارس المقدس,ترس,8,تقارير_المراجعة_الحوارية/المرحلة_08/dialogue_stage8_glossary.csv,,approved,Merged from stage glossaries.
Honey,عسل,itemInfo,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
Honey Room,غرفة العسل,,24,تقارير_المراجعة_الحوارية/المرحلة_24/dialogue_stage24_glossary.csv,,approved,Merged from stage glossaries.
Honeymoon Helper,مساعد العرسان,,24,تقارير_المراجعة_الحوارية/المرحلة_24/dialogue_stage24_glossary.csv,,approved,Merged from stage glossaries.
Hong Miao,هونغ مياو,موظفة برج الإطلالة,19,تقارير_المراجعة_الحوارية/المرحلة_19/dialogue_stage19_glossary.csv,,approved,Merged from stage glossaries.
Hornet,دبور,mob_db,2,تقارير_المراجعة_الحوارية/المرحلة_02/dialogue_stage2_glossary.csv,,approved,Merged from stage glossaries.
